PROVINCIA,CITTA,RIFERIMENTO,DATA,ORARIO,AVG_SENSORE
AL,PONTESTURA,CASALE MONFERRATO,22/06,19.00,5.42
AL,PONTESTURA,CASALE MONFERRATO,22/06,20.00,5.27
AL,PONTESTURA,CASALE MONFERRATO,22/06,21.00,12.76
AL,PONTESTURA,CASALE MONFERRATO,22/06,22.00,12.81
AL,PONTESTURA,CASALE MONFERRATO,22/06,23.00,12.67
AL,PONTESTURA,CASALE MONFERRATO,23/06,0.00,16.08
AL,PONTESTURA,CASALE MONFERRATO,23/06,1.00,44.70
AL,PONTESTURA,CASALE MONFERRATO,23/06,2.00,46.24
AL,PONTESTURA,CASALE MONFERRATO,23/06,3.00,46.77
AL,PONTESTURA,CASALE MONFERRATO,23/06,4.00,45.78
AL,PONTESTURA,CASALE MONFERRATO,23/06,5.00,3.52
AL,PONTESTURA,CASALE MONFERRATO,23/06,6.00,3.42
AL,PONTESTURA,CASALE MONFERRATO,23/06,7.00,3.51
AL,PONTESTURA,CASALE MONFERRATO,23/06,8.00,3.40
AL,PONTESTURA,CASALE MONFERRATO,23/06,9.00,3.40
AL,PONTESTURA,CASALE MONFERRATO,23/06,10.00,3.41
AL,PONTESTURA,CASALE MONFERRATO,23/06,11.00,3.44
AL,PONTESTURA,CASALE MONFERRATO,23/06,12.00,3.49
AL,PONTESTURA,CASALE MONFERRATO,23/06,13.00,3.54
AL,PONTESTURA,CASALE MONFERRATO,23/06,14.00,3.63
AL,PONTESTURA,CASALE MONFERRATO,23/06,15.00,3.83
AL,PONTESTURA,CASALE MONFERRATO,23/06,16.00,3.79
